jobid,submit,start,end,nnodes,duration,max_memory,randomness
0,170562253,170562253,170562426,1,172,35,0.018594326524808857
1,170562256,170562295,170567901,4,5606,117,0.36618108020880336
2,170562288,170562288,170563012,1,723,24,0.2037748713454708
3,170562288,170562288,170563012,1,723,86,0.1507111688180347
4,170562290,170562291,170562336,1,45,133,0.8577218719564766
5,170562300,170562300,170562482,1,182,42,0.20918293846826852
6,170562340,170562340,170562422,1,82,35,0.4804906689285623
7,170562342,170562342,170562409,1,66,56,0.6601867635788081
8,170562354,170562355,170568199,1,5843,130,0.02078772215664093
9,170562364,170562365,170562427,1,61,121,0.9857360252875981
10,170562423,170562423,170562449,1,26,59,0.5587734390048488
11,170562433,170562433,170568199,1,5766,131,0.22819189855481992
12,170562434,170562435,170562445,1,10,16,0.13970337482969186
13,170562452,170562452,170562504,1,51,58,0.40300564151476814
14,170562457,170562457,170562505,1,47,133,0.6355259313868598
15,170562458,170562458,170563503,1,1045,31,0.9445810290669581
16,170562494,170562499,170562673,1,173,78,0.965259591844204
17,170562508,170562511,170568199,1,5687,54,0.23173900145875226
18,170562528,170562530,170562569,6,38,44,0.3654936898965152
19,170562568,170562576,170563076,1,499,20,0.7997120597986842
20,170562591,170562592,170563091,1,499,28,0.20510854902250109
21,170562610,170562610,170562627,1,17,18,0.38992231332055327
22,170562620,170562621,170563124,1,502,56,0.7891890065661844
23,170562624,170562624,170563348,1,723,25,0.2970058468508623
24,170562631,170562633,170563133,1,500,20,0.28290067817730025
25,170562631,170562633,170563133,1,500,21,0.30240978184267986
26,170562634,170562635,170570822,1,8187,39,0.6681894733021682
27,170562651,170562651,170562674,1,22,19,0.7471846492594736
28,170562669,170562669,170562693,1,24,23,0.44098888228973976
29,170562689,170562689,170567829,16,5140,39,0.7494904938215999
30,170562770,170562770,170562796,1,26,23,0.6454104737317489
31,170562827,170562827,170562957,4,129,24,0.8051208942793383
32,170562827,170562827,170562938,4,110,27,0.15640051371104258
33,170562827,170562827,170562934,4,106,23,0.026302075112452084
34,170562827,170562827,170562942,4,114,25,0.07610195883336868
35,170562827,170562827,170562970,4,142,25,0.8128194155894054
36,170562955,170562955,170563377,1,422,57,0.751221182370486
37,170562976,170562984,170563977,4,993,25,0.5473051567092434
38,170562976,170562977,170563988,4,1011,26,0.42537344239314123
39,170562976,170562977,170563954,4,977,25,0.5017993122266382
40,170562976,170562977,170567148,4,4171,27,0.09463220981836495
41,170562976,170562981,170564037,4,1055,25,0.6634659251276214
42,170563012,170563012,170563735,1,723,25,0.2949674939107032
43,170563012,170563012,170563735,1,723,25,0.4968800800282934
44,170563076,170563077,170563578,1,500,21,0.21939899150412945
45,170563091,170563093,170563592,1,499,20,0.18303375187900262
46,170563097,170563097,170563281,1,183,16,0.07144750728974603
47,170563124,170563124,170563626,1,501,58,0.9947454523342871
48,170563133,170563135,170563636,1,500,20,0.9109198367350348
49,170563133,170563135,170563636,1,500,57,0.4172396408373289
50,170563348,170563348,170564071,1,723,30,0.9366954464128502
51,170563578,170563579,170564080,1,500,21,0.9514786981169355
52,170563592,170563594,170564094,1,500,58,0.3800061181424783
53,170563626,170563626,170564128,1,501,20,0.07167279505557522
54,170563636,170563637,170564139,1,501,21,0.17700216217883513
55,170563636,170563637,170564139,1,501,20,0.6869258220173547
56,170563646,170563646,170563719,1,73,23,0.8167288342482355
57,170563701,170563702,170563911,1,209,17,0.6933589644657844
58,170563729,170563729,170563741,1,12,29,0.24396038373503515
59,170563730,170563730,170563741,1,11,30,0.9806607202343999
60,170563735,170563736,170564460,1,724,48,0.7808690925258723
61,170563735,170563736,170564460,1,724,25,0.8381956956036568
62,170563767,170563768,170563774,1,6,30,0.958812552829106
63,170563768,170563768,170563774,1,5,30,0.6592344906131866
64,170563814,170563814,170563834,1,19,41,0.0075905451888484965
65,170563815,170563815,170563834,1,19,41,0.10720414050292704
66,170563870,170563870,170564267,1,396,25,0.12063275009278851
67,170563907,170563907,170563912,1,4,17,0.31345934130884057
68,170564049,170564049,170564768,1,719,23,0.7016873439439826
69,170564071,170564071,170564796,1,725,27,0.06876807525150974
70,170564080,170564082,170564580,1,498,21,0.6081387657456284
71,170564094,170564096,170564597,1,501,21,0.2829859403658296
72,170564128,170564128,170564633,1,504,24,0.30906458081507326
73,170564139,170564140,170564641,1,500,21,0.378071518107006
74,170564139,170564140,170564643,1,502,20,0.7538103415796049
75,170564183,170564200,170565644,8,1444,58,0.17860767775888786
76,170564184,170564279,170565722,8,1442,38,0.6216387231113598
