jobid,submit,start,end,nnodes,duration,max_memory,randomness
0,168576504,168576504,168580806,2,4302,100,0.49208085411859837
1,168580999,168580999,168585302,2,4303,100,0.3210418929979063
2,168585304,168585304,168589611,2,4307,96,0.9151735449034906
3,168589904,168589904,168594215,2,4311,97,0.32342779912425623
4,168594394,168594394,168598695,2,4301,115,0.03513119713420543
5,168576558,168576558,168580860,2,4302,98,0.6204801913169394
6,168581051,168581051,168585352,2,4301,104,0.16800997841662502
7,168585353,168585353,168589655,2,4301,103,0.3265958528350875
8,168590077,168590077,168594379,2,4301,98,0.7509017111269986
9,168594576,168594576,168598877,2,4301,100,0.5650996194902159
10,168577241,168577241,168581542,2,4301,100,0.34816708696312204
11,168581687,168581687,168585988,2,4301,100,0.025720565976700138
12,168586658,168586658,168590960,2,4301,97,0.6096516673527898
13,168591193,168591193,168595495,2,4301,103,0.6385613585294428
14,168595573,168595573,168599874,2,4301,105,0.28916870850383114
15,168576140,168576140,168580455,1,4315,115,0.24308469964922508
16,168577224,168577224,168581547,4,4323,70,0.20738903951110632
17,168581740,168581740,168586056,4,4316,73,0.7098141271156306
18,168586970,168586970,168591295,4,4325,75,0.3828549294342607
19,168591960,168591960,168596283,4,4322,73,0.19270195285552372
20,168577318,168577318,168579461,2,2143,90,0.008385903911590775
21,168583381,168583381,168583448,8,66,141,0.5527172417622856
22,168577629,168577629,168579788,2,2158,108,0.5617664036083675
23,168579788,168579788,168581951,2,2163,91,0.6084567519513494
24,168582252,168582252,168584412,2,2160,96,0.4037491541780619
25,168584455,168584455,168586615,2,2159,91,0.5312445355649547
26,168586619,168586619,168588780,2,2161,93,0.45120619984365284
27,168589257,168589257,168591416,2,2158,93,0.6437888824721292
28,168591422,168591422,168593581,2,2159,92,0.6840427122086379
29,168593737,168593737,168595896,2,2159,96,0.6080242813557987
30,168577630,168577630,168579789,2,2159,96,0.7752876438239366
31,168579790,168579790,168581949,2,2159,94,0.5783348391108712
32,168582251,168582251,168584415,2,2163,92,0.4389386346247971
33,168584530,168584530,168586685,2,2154,91,0.8799398052916877
34,168586689,168586689,168588848,2,2159,94,0.030731254956479992
35,168589358,168589358,168591517,2,2159,95,0.07257673661780517
36,168591793,168591793,168593953,2,2159,91,0.4411067518615004
37,168594163,168594163,168596323,2,2159,94,0.001991759866881382
38,168596363,168596363,168598523,2,2159,94,0.2746455444513487
39,168577781,168577781,168582092,2,4311,92,0.9552404559369071
40,168582255,168582255,168586567,2,4311,93,0.8304183124098732
41,168586822,168586822,168591133,2,4311,94,0.524783645913775
42,168591222,168591222,168595534,2,4311,100,0.9720730522032835
43,168595574,168595574,168599886,2,4312,102,0.4414129878671801
44,168577781,168577781,168582092,2,4311,92,0.27088336338796615
45,168582256,168582256,168586571,2,4315,93,0.7404810000761164
46,168586892,168586892,168591204,2,4311,94,0.8078075808761195
47,168591356,168591356,168595667,2,4311,97,0.5074603678986749
48,168595707,168595707,168600020,2,4312,100,0.850123723115357
49,168578055,168578055,168582372,2,4317,94,0.8796615657875649
50,168582397,168582397,168586708,2,4311,100,0.6975469999621561
51,168587069,168587069,168591380,2,4311,97,0.9701638460372851
52,168591541,168591541,168595852,2,4311,94,0.1564802392813851
53,168595853,168595853,168600165,2,4311,94,0.594975020665218
54,168578261,168578261,168582588,2,4326,91,0.45427662302915006
55,168582599,168582599,168586911,2,4311,94,0.8317554266269558
56,168587265,168587265,168591578,2,4312,93,0.5226908742897368
57,168591800,168591800,168596112,2,4311,96,0.4335153315884258
58,168596123,168596123,168600435,2,4311,94,0.43895302417561666
59,168578131,168578131,168582439,2,4308,93,0.8305539963337472
60,168582447,168582447,168586749,2,4301,94,0.35946911225272427
61,168587077,168587077,168591378,2,4301,94,0.3025031342008573
62,168591544,168591544,168595845,2,4301,92,0.9194647318404784
63,168595918,168595918,168600220,2,4301,96,0.04960969064369636
64,168578188,168578188,168582493,2,4304,92,0.7698765817464827
65,168582507,168582507,168586809,2,4301,96,0.9829779585756467
66,168587290,168587290,168591596,2,4305,96,0.43056302881422204
67,168591931,168591931,168596232,2,4301,96,0.2230201252006201
68,168596323,168596323,168600625,2,4301,96,0.16546300432099403
69,168578202,168578202,168582508,2,4305,93,0.18188998773772835
70,168582528,168582528,168586829,2,4301,96,0.020407471879438033
71,168587424,168587424,168591726,2,4301,95,0.0014258717254972408
72,168592055,168592055,168596358,2,4302,94,0.7179362476571797
73,168596394,168596394,168600695,2,4301,95,0.8021040291187725
74,168575524,168575524,168579825,2,4301,92,0.2871196079484408
75,168579827,168579827,168584128,2,4301,97,0.8186520248807561
76,168584130,168584130,168588432,2,4301,92,0.9006567884940635
77,168588738,168588738,168593039,2,4301,96,0.3164390438389245
78,168593322,168593322,168597623,2,4301,94,0.07172660272692288
79,168575791,168575791,168580092,2,4301,97,0.7805106269104561
80,168580104,168580104,168584407,2,4302,96,0.011296908032058406
81,168584457,168584457,168588758,2,4301,95,0.29303724129851705
82,168589392,168589392,168593693,2,4301,92,0.5448333125735461
83,168593906,168593906,168598207,2,4301,98,0.18996986284596074
84,168579861,168579861,168580591,1,729,44,0.03227981030040339
85,168577759,168577759,168578479,1,719,70,0.21692358079555574
86,168577759,168577759,168578479,1,719,63,0.47889766627455377
87,168577760,168577760,168578479,1,719,66,0.8708760231513698
88,168578862,168578862,168579585,1,722,67,0.9894635887920281
89,168579132,168579132,168581190,1,2058,68,0.5066286689659585
90,168579139,168579139,168581190,1,2051,75,0.48631424045548244
91,168579139,168579139,168579886,1,746,72,0.855118642102465
92,168579142,168579142,168581190,1,2048,69,0.849979463478815
93,168579443,168579443,168581194,1,1751,63,0.8936969924380279
94,168579472,168579472,168580188,1,716,72,0.8949362022488025
95,168579932,168579932,168580647,1,714,67,0.3863779097440996
96,168579928,168579928,168580647,1,718,65,0.9406023253100894
97,168580158,168580158,168580876,1,717,75,0.6909178222854249
98,168580169,168580169,168580887,1,717,57,0.6170492487961914
99,168580171,168580171,168580887,1,715,61,0.08890637203683927
100,168580187,168580187,168580897,1,710,62,0.4427024839483148
101,168580185,168580185,168580902,1,716,64,0.6071528157709047
102,168580184,168580184,168580912,1,728,70,0.6183660651857938
103,168582585,168582585,168583311,1,726,60,0.20818433302710726
104,168582583,168582583,168583311,1,728,53,0.11215032554463433
105,168582590,168582590,168583311,1,720,57,0.4583516974493421
106,168582598,168582598,168583311,1,712,58,0.7568031835832978
107,168582590,168582590,168583311,1,721,61,0.42123656024441136
108,168582630,168582630,168583349,1,718,62,0.5875365344357258
109,168582665,168582665,168583439,1,774,49,0.7767092371974385
110,168582662,168582662,168583491,1,828,65,0.005931221476261461
111,168582664,168582664,168583440,1,776,70,0.9001651611046529
112,168582668,168582668,168583454,1,785,60,0.9730539362517142
113,168582671,168582671,168583456,1,785,63,0.31030760609209396
114,168582675,168582675,168583454,1,778,65,0.1120364950507583
115,168582674,168582674,168583455,1,780,62,0.8196988795329905
116,168582699,168582699,168583454,1,755,52,0.7622145247442086
117,168582702,168582702,168583477,1,774,63,0.3160849123751508
118,168582711,168582711,168583477,1,765,64,0.6016215265013765
119,168582735,168582735,168583477,1,741,62,0.26106451511495643
120,168582751,168582751,168583477,1,726,70,0.4188472050113313
121,168582761,168582761,168583491,1,730,54,0.4478185616235193
122,168582755,168582755,168583491,1,736,64,0.0667422575683525
123,168582759,168582759,168583491,1,732,68,0.13240215076206774
124,168582761,168582761,168583491,1,730,52,0.07461480691054234
125,168582775,168582775,168583506,1,730,66,0.6015646674568903
126,168582760,168582760,168583506,1,746,55,0.4981055254154503
127,168582760,168582760,168583502,1,742,54,0.36557827836026957
128,168582768,168582768,168583506,1,737,56,0.09894007068737665
129,168582771,168582771,168583571,1,799,58,0.2868674366022672
130,168582764,168582764,168583491,1,726,61,0.7409927334064139
131,168581702,168581702,168582420,1,718,63,0.5336279152375867
132,168581706,168581706,168582420,1,714,61,0.2173398559691775
133,168581708,168581708,168582420,1,712,68,0.8282244719425319
134,168581709,168581709,168582420,1,711,62,0.5014432848611895
135,168581708,168581708,168582426,1,717,67,0.06710926713565246
136,168581706,168581706,168582427,1,721,66,0.04808147523973971
137,168581699,168581699,168582440,1,741,68,0.572676737335148
138,168582768,168582768,168583527,1,758,59,0.5874279622935121
139,168582773,168582773,168583578,1,804,56,0.869397558588957
140,168582780,168582780,168583513,1,733,59,0.8106588946855131
141,168582779,168582779,168583531,1,752,56,0.643131374995779
142,168582785,168582785,168584062,1,1276,67,0.14220234792059372
143,168582781,168582781,168583549,1,768,59,0.2831701413498494
144,168582781,168582781,168583564,1,783,60,0.4142785892223826
145,168582792,168582792,168584267,1,1474,61,0.08026970574405345
146,168582789,168582789,168583591,1,801,61,0.031196525218412874
147,168583271,168583271,168583986,1,715,63,0.3592585356659246
148,168583271,168583271,168583987,1,715,63,0.8150336429524214
149,168583315,168583315,168584267,1,952,65,0.33884880940792406
150,168583319,168583319,168584040,1,721,59,0.06539021368149012
151,168583319,168583319,168584040,1,721,64,0.9130828413724951
152,168581262,168581262,168581974,1,712,62,0.8277696014245647
153,168581262,168581262,168581974,1,712,73,0.6226329656575107
154,168583319,168583319,168584040,1,720,58,0.5510300055814252
155,168583319,168583319,168584040,1,721,61,0.8670777528517016
156,168583385,168583385,168584110,1,725,63,0.7433881470273719
157,168583385,168583385,168584110,1,724,59,0.9017453100872814
158,168583385,168583385,168584116,1,731,62,0.8714728390005213
159,168583385,168583385,168584110,1,725,71,0.6945045811795673
160,168583385,168583385,168584110,1,725,60,0.6426356354670216
161,168583385,168583385,168584110,1,725,66,0.7640055561796987
162,168583385,168583385,168584110,1,725,66,0.4697566545094731
163,168583385,168583385,168584110,1,725,62,0.9485316800788504
164,168583385,168583385,168584110,1,724,67,0.5355477161024313
165,168583385,168583385,168584110,1,725,66,0.9578561593136954
166,168583385,168583385,168584110,1,725,67,0.993262017704931
167,168581240,168581240,168581966,1,726,86,0.1965070883055292
168,168581244,168581244,168581989,1,745,62,0.1575020628257524
169,168581241,168581241,168581990,1,748,70,0.7606494934034674
170,168583385,168583385,168584110,1,725,67,0.9910947095073807
171,168583385,168583385,168584110,1,724,60,0.45885087917829226
172,168583385,168583385,168584110,1,724,72,0.5627722532852574
173,168583389,168583389,168584110,1,721,62,0.08656573431851045
174,168583389,168583389,168584110,1,720,60,0.2931066605000565
175,168583396,168583396,168584110,1,713,69,0.3069224747381536
176,168583391,168583391,168584110,1,718,61,0.5514625458472246
177,168583389,168583389,168584110,1,720,65,0.44720276499726164
178,168583395,168583395,168584114,1,718,71,0.8520225606715617
179,168583400,168583400,168584114,1,713,72,0.05704805048070172
180,168583391,168583391,168584114,1,723,65,0.8371554466899148
181,168583389,168583389,168584110,1,720,60,0.7323910498417625
182,168583389,168583389,168584114,1,725,61,0.7760094640791575
183,168583396,168583396,168584114,1,718,63,0.6242957228124706
184,168583389,168583389,168584114,1,725,70,0.9066477961957461
185,168583389,168583389,168584114,1,725,69,0.14338831598479695
186,168583390,168583390,168584114,1,724,60,0.22970701267379312
187,168583400,168583400,168584114,1,714,68,0.3095397869502676
188,168583393,168583393,168584119,1,725,75,0.12443686567673518
189,168583402,168583402,168584119,1,717,69,0.2953408699909269
190,168583404,168583404,168584138,1,734,74,0.17853992969545385
191,168583402,168583402,168584123,1,720,46,0.9276245853154612
192,168583404,168583404,168584123,1,718,70,0.32718726762725947
193,168583425,168583425,168584146,1,720,62,0.9433013356064983
194,168583427,168583427,168584146,1,719,63,0.41765500894183694
195,168583427,168583427,168584160,1,733,60,0.6909117674208122
196,168583426,168583426,168584175,1,748,60,0.03741544737286995
197,168583439,168583439,168584182,1,743,56,0.6474773583047755
198,168583440,168583440,168584178,1,738,56,0.691541279892856
199,168583440,168583440,168584188,1,748,64,0.9048374636991284
200,168583452,168583452,168584182,1,729,61,0.11618000243945537
201,168583452,168583452,168584269,1,817,60,0.9069396105896015
202,168583459,168583459,168584182,1,722,73,0.1973569030645025
203,168583462,168583462,168584182,1,719,60,0.09462024742050901
204,168583459,168583459,168584182,1,722,61,0.869506029612224
205,168583459,168583459,168584182,1,722,64,0.5903789945506844
206,168583479,168583479,168584271,1,792,63,0.9765216595044542
207,168583481,168583481,168584201,1,719,67,0.9907666798228922
208,168583481,168583481,168584201,1,719,66,0.03656153414197627
209,168583489,168583489,168584270,1,781,71,0.6796632575832742
210,168583484,168583484,168584271,1,786,64,0.005966680903654931
211,168583488,168583488,168584267,1,778,63,0.8688639358147576
212,168583488,168583488,168584270,1,782,61,0.22496788419727998
213,168583495,168583495,168584269,1,774,61,0.011271632233773587
214,168583488,168583488,168584291,1,802,68,0.9415506010292938
215,168583489,168583489,168584291,1,801,64,0.5673285822545421
216,168583495,168583495,168584291,1,796,74,0.19047950379360623
217,168583499,168583499,168584295,1,796,72,0.02392593973823376
