jobid,submit,start,end,nnodes,duration,memory
2373390,165955826,165955826,165960154,128,4328,96
2373393,165955826,165955826,165960148,128,4322,99
2373394,165962378,165962378,165966699,128,4321,75
2373395,165962869,165962869,165967192,128,4322,102
2373397,165968625,165968625,165972948,128,4322,47
2373398,165971547,165971547,165975869,128,4321,63
2373401,165980005,165980005,165984334,128,4329,59
2373402,165984354,165984354,165988676,128,4321,61
2373404,166002234,166002234,166006555,128,4320,48
2373406,166002234,166002234,166006558,128,4323,47
2373408,166007764,166007764,166012093,128,4328,396
2373412,166017535,166017535,166021859,128,4323,52
2373413,166017542,166017542,166021871,128,4329,100
2373415,166027169,166027169,166031493,128,4324,137
2373416,166027169,166027169,166031493,128,4323,138
2373418,166034521,166034521,166038843,128,4321,150
2373420,166036930,166036930,166041252,128,4321,140
2373423,166044876,166044876,166049198,128,4321,149
2373425,166044887,166044887,166049210,128,4323,140
2373427,166075420,166075420,166079742,128,4322,127
2373430,166075420,166075420,166079743,128,4322,130
2373431,166093282,166093282,166097604,128,4322,129
2373435,166093444,166093444,166097767,128,4322,129
2373436,166104817,166104817,166109140,128,4321,141
2373441,166104832,166104832,166109161,128,4328,131
2374180,166012091,166012091,166016412,16,4320,45
2374250,165971056,165971056,165975378,4,4321,143
2374251,166012229,166012229,166016550,4,4320,46
2374252,166012512,166012512,166016834,4,4321,40
2374254,166013498,166013498,166017820,4,4322,37
2374255,166013828,166013828,166018151,4,4323,40
2374268,166012055,166012055,166016378,2,4323,36
2374269,166012824,166012824,166017147,2,4322,42
2374271,166012927,166012927,166017249,2,4322,40
2374273,166012957,166012957,166017279,2,4322,39
2374274,166012987,166012987,166017309,2,4322,44
2374276,166013173,166013173,166017494,2,4321,44
2374277,166013498,166013498,166017820,2,4322,35
2374279,166014201,166014201,166018522,2,4320,37
2374280,166014213,166014213,166018534,2,4320,43
2374281,166033345,166033345,166037667,2,4321,108
2377076,166033345,166033345,166037666,2,4321,106
2377095,165970894,165970894,165975215,1,4320,36
2377096,165971050,165971050,165975372,1,4321,37
2377097,165971194,165971194,165975516,1,4321,35
2377098,166012367,166012367,166016689,1,4321,38
2377099,166013912,166013912,166018233,1,4320,39
2432237,165948746,165948746,165953067,32,4321,92
2432238,165948746,165948746,165953067,32,4321,97
2755125,165931462,165931462,165931851,2,389,37
2755126,165931568,165931568,165931967,2,399,35
2755129,165931818,165931818,165932243,2,425,34
2755130,165944085,165944085,165944510,2,424,31
2755131,165944085,165944085,165944513,2,427,31
2755132,165944089,165944089,165944533,2,443,31
2755134,165944089,165944089,165944477,2,388,31
2755135,165944089,165944089,165944471,2,381,31
2755136,165944089,165944089,165944476,2,386,31
2755137,165944092,165944092,165944467,2,375,31
2755138,165944092,165944092,165944475,2,382,31
2755139,165944092,165944092,165944475,2,382,31
2755140,165944092,165944092,165944468,2,375,31
2755141,165944092,165944092,165944481,2,388,31
2755142,165944092,165944092,165944478,2,385,31
2755144,165944249,165944249,165944634,2,385,31
2755145,165944417,165944417,165944778,2,360,31
2755146,165944424,165944424,165944801,2,377,31
2755147,165945210,165945210,165945577,2,366,31
2768399,165932359,165932359,165934814,5,2454,141
2768400,165980408,165980408,165984008,5,3600,136
2768401,165980408,165980408,165984009,5,3600,137
2768402,165980439,165980439,165984039,5,3600,137
2768420,166012421,166012421,166014958,5,2537,142
2768423,166050804,166050804,166053342,5,2538,150
2768424,166050804,166050804,166053271,5,2467,144
2768425,166079764,166079764,166082179,5,2415,143
2800919,165964329,165964329,165964851,1,522,34
2800930,165969293,165969293,165970557,1,1264,37
2802806,165931243,165931243,165932238,1,995,38
2802807,165931244,165931244,165932113,1,869,37
2802808,165931283,165931283,165933024,1,1741,38
2802809,165931284,165931284,165932471,1,1187,40
2802812,165931332,165931332,165931777,1,445,47
2802813,165931333,165931333,165931797,1,463,38
2802814,165931389,165931389,165931946,1,557,321
2802815,165931409,165931409,165931958,1,548,36
2802818,165931474,165931474,165932175,1,700,37
2802819,165931478,165931478,165931929,1,451,37
2802820,165931550,165931550,165931987,1,436,36
2802821,165931608,165931608,165932076,1,468,43
2802822,165931681,165931681,165932056,1,374,39
2802823,165931683,165931683,165932171,1,488,42
2802833,165944085,165944085,165945284,1,1199,36
2805809,165931204,165931204,165931936,2,732,36
2805812,165931206,165931206,165934015,2,2808,39
2805847,165931283,165931283,165932789,2,1506,66
2806009,165931291,165931291,165933128,2,1837,38
2806014,165931438,165931438,165933072,2,1634,35
2806069,165931438,165931438,165932703,2,1264,39
2806103,165931479,165931479,165932284,2,805,36
2806115,165944086,165944086,165948417,16,4330,261
2806117,165949615,165949615,165953944,16,4328,227
2806118,165957583,165957583,165961912,16,4328,284
2806119,165966700,165966700,165971030,16,4329,242
